機構狀態,機構名稱,地址縣市別,地址鄉鎮市區,地址街道巷弄號,負責人姓名,負責人性別,電話,是否為健保特約藥局
"開業","一方藥局","臺南市","北區","開元路485巷41弄28號一樓","張秀女","女","2742419","Y"
"開業","一加恩聯合藥局","臺南市","北區","開元路四二二號","劉曉慧","女","062081172","Y"
"開業","一加藥局","臺中市","豐原區","中正路195號","溫學文","男","425237700","Y"
"開業","一加藥局","臺南市","永康區","正強街231號1樓","林宏仁","男","62039098","N"
"開業","一加藥局","高雄市","苓雅區","和平一路四二號","蔡素津","女","077212748","Y"
"開業","一生藥局","臺中市","北區","精武路２１０號１Ｆ","洪一勝","男","422116285","Y"
"開業","一生藥局","雲林縣","西螺鎮","延平路234號","謝孟珍","女","55862222","Y"
"開業","一生藥局","屏東縣","屏東市","民族路４９２號","江俊祥","男","87665353","Y"
"開業","一生藥師藥局","宜蘭縣","羅東鎮","中正南路127號","曾莉菱","女","9542620","Y"
"開業","一安正昇藥局","臺北市","松山區","南京東路五段309號","梁世易","男","227680993","Y"
"開業","一安堂藥局","臺中市","中區","臺灣大道一段20號1樓","劉竟瑞","男","422259616","Y"
"開業","一安堂藥局","高雄市","橋頭區","橋南路86號","蔡秋萍","女","076113371","N"
"開業","一安堂藥局","嘉義縣","朴子市","中正里中正路125號","黃新賀","男","3792122","N"
"開業","一安藥妝藥局","新北市","中和區","中和路9號1.2樓","許毅竑","男","222483778","Y"
"開業","一安藥局","臺南市","學甲區","新達里華宗路441號","沈坤泉","男","067835504","Y"
"開業","一安藥局","嘉義市","西區","福民里興業西路３１１號","謝嘉娟","女","0052859275","Y"
"開業","一安藥局","新北市","新莊區","新泰路268號","許有讓","男","","Y"
"開業","一安藥局","彰化縣","彰化市","中山路一段３９５巷１３５號","謝明錫","男","47631149","N"
"開業","一成藥局","彰化縣","溪州鄉","民生路一段５２號","吳永森","男","48803949","N"
"開業","一佳藥局","新北市","三重區","正義南路42號1樓","康秦漁","女","","Y"
"開業","一効藥局","雲林縣","西螺鎮","延平路８４號","程士晉","男","055863333","N"
"開業","一和藥局","新北市","土城區","中央路1段６７之３號","張宏紳","男","0222634343","Y"
"開業","一昇藥局","臺中市","西屯區","大墩路一○一六號一樓","廖明昇","男","423107937","N"
"開業","一服吉安藥局","南投縣","草屯鎮","草溪路１３３之７號","賴萬枝","男","49337345","N"
"開業","一信大藥局","宜蘭縣","頭城鎮","青雲路二段三七三號","賴義村","男","039771 446","N"
"開業","一信藥局","嘉義縣","朴子市","山通路132號","鄭淑穎","女","53792323","Y"
"開業","一品健康藥局","臺南市","東區","崇學里崇學路50-1號1樓","高華霙","女","65983328","Y"
"開業","一家好藥局","新北市","林口區","中山路500號","蔡富雄","男","226028270","Y"
"開業","一家藥局","高雄市","鼓山區","鼓山三路108-12號","黃　智","男","75822444","Y"
"開業","一泰大藥局","高雄市","鳳山區","和興里五甲一路5號","林來金","女","7407795","N"
"開業","一航藥局","臺南市","永康區","復國一路233號","王伯祥","男","62010101","Y"
"開業","一統藥師藥局","高雄市","前鎮區","瑞和街251號、253號","黃盛杞","男","077710633","Y"
"開業","一富藥局","嘉義縣","大林鎮","蘭洲街１２號","鄭建斌","男","052654357","Y"
"開業","一翔藥局","臺南市","安定區","港南里港口196號1樓","葉權昇","男","(06)5935208","Y"
"開業","一誠藥局","新北市","板橋區","府中路62號","陳學宏","男","0029673956","Y"
"開業","一誦藥局","臺中市","西區","篤信街五十三號一樓","黃德仁","男","22031917","N"
"開業","一銘藥局","新北市","新莊區","幸福路542號(1樓)","曾建方","男","29961050","Y"
"開業","一龍藥局","臺中市","太平區","東平路四七一號","李土龍","男","22703816","N"
"開業","乙田藥局","臺南市","東區","怡東路30號1樓","陳致穎","男","(06)2359303","Y"
"開業","乙安藥局","新北市","蘆洲區","中原路6、8號1樓","楊景堯","男","22888277","Y"
"開業","乙展藥局","嘉義市","東區","蘭井街七二號","黃文青","男","0052281079","Y"
"開業","乙鑫藥局","臺南市","南區","再興里健康路二段169號1樓","沈怡萩","女","062636399. 0983588611","Y"
"開業","丁丁楠梓藥局","高雄市","楠梓區","建楠路130.132.134號","林世聰","男","073533743","Y"
"開業","丁丁藥局","高雄市","鼓山區","美術東二路7號","黃家騏","女","73854991","Y"
"開業","丁丁藥局","高雄市","岡山區","中華路1號","何金益","男","76256157","Y"
"開業","丁丁藥局","新竹市","東區","中華路二段91號","黃英明","男","36117888","Y"
"開業","丁丁藥局小港店","高雄市","小港區","宏平路８５號","劉榮富","男","78603388","Y"
"開業","丁丁藥局北斗店","彰化縣","北斗鎮","西安里斗苑路二段30號","曹政揚","男","048873032、0958572575","Y"
"開業","丁丁藥局北高雄店","高雄市","左營區","自由三路148號","曾蕙珍","女","73453680","N"
"開業","丁丁藥局秀水店","彰化縣","秀水鄉","安東村彰水路一段22號","黃柏修","男","47686200","Y"
"開業","丁丁藥局和美店","彰化縣","和美鎮","山犁里道周路312號","温榮豪","男","","Y"
"開業","丁丁藥局員林店","彰化縣","員林市","和平里中山路二段89號","程淑娟","女","48373508","Y"
"開業","丁丁藥局彰化店","彰化縣","彰化市","曉陽路219號","潘勝偉","男","47236140","Y"
"開業","丁丁藥局彰鹿店","彰化縣","彰化市","南安里彰鹿路150號","李建忠","男","47531110","Y"
"開業","丁丁藥局橋頭店","高雄市","橋頭區","成功南路148巷3號","姚乃菁","女","76113633","Y"
"開業","七二八藥局","新竹市","東區","明湖路1245號1樓","陳美玲","女","35200530","Y"
"開業","七安大藥局","新北市","新莊區","民安西路55號1、2樓及57號1樓","李世超","男","222066066","Y"
"開業","七星中西藥局","臺中市","東區","十甲東路四０六巷一號一樓","謝文熊","男","422123014","Y"
"開業","七星藥局","嘉義縣","民雄鄉","中樂路１６號","吳嘉文","男","052261977","Y"
"開業","七賢藥局","高雄市","鹽埕區","七賢三路162號1樓","伍敏賢","男","5330616 / 0922119363","Y"
"開業","九九藥局","高雄市","楠梓區","後昌路775號","傅任巧","女","73633636","Y"
"開業","九禾藥局","桃園市","中壢區","九和五街９號１樓","陳昭蘭","女","32805283","Y"
"開業","九如順天藥局","高雄市","三民區","大連街9巷18號","陳啟明","男","73220706","Y"
"開業","九如藥局","屏東縣","九如鄉","九如路二段230號","洪培昱","男","087397777、0963825879","Y"
"開業","九州藥局","臺北市","信義區","和平東路三段239號","邵瓊慧","女","87323331","Y"
"開業","九州藥局","新北市","永和區","自由街5號1樓","徐壽慈","男","229226879","Y"
"開業","九和大藥局向上店","臺中市","西區","向上路一段192號1樓","鄭志賢","男","423020148","Y"
"開業","九和藥局","彰化縣","北斗鎮","西德里斗苑路一段290號","杞大宇","男","48875039","Y"
"開業","九崧藥局","新北市","中和區","南華路20號1樓","許丕堅","男","0222451379","Y"
"開業","九福藥局","臺北市","北投區","公館路２３６號","黃金舜","男","0228953009","Y"
"開業","九億藥局","高雄市","苓雅區","廣州一街29號","張彩柑","女","77159373","N"
"開業","九德藥局","臺中市","烏日區","中山路一段438、440號1樓","張景雯","女","423385456","Y"
"開業","九德藥局","桃園市","蘆竹區","中山路六十九號","蔡導明","男","033116868","Y"
"開業","二水鄭家藥局","雲林縣","斗六市","文化路234號","蕭孟慈","女","55323788","Y"
"開業","二安藥局","新北市","新莊區","中港路６５號","莊秀娟","女","0029914527","Y"
"開業","二林順順藥局","彰化縣","二林鎮","仁愛路451號","馬婉瑜","女","48951351","Y"
"開業","二林福倫藥局","彰化縣","二林鎮","豐田里斗苑路4段669、671號","許尹貞","女","48956818","Y"
"開業","二林貓頭鷹藥局","彰化縣","二林鎮","東和里中正路24、26號","薛嬋姮","女","048952299","Y"
"開業","二林藥局","彰化縣","二林鎮","東和里斗苑路五段39號","黄思緁","女","48950010","Y"
"開業","二苓仙光藥局","高雄市","小港區","漢民路２６０號","廖助仙","男","78069060","Y"
"開業","二崙藥師藥局","雲林縣","二崙鄉","中山路199號","張迪翔","男","55990299","Y"
"開業","二結藥局","宜蘭縣","五結鄉","中正西路66號1樓","鍾宜潔","女","39650050","Y"
"開業","二德藥局","高雄市","左營區","店仔頂路六九號","陳俊敦","男","075821934","N"
"開業","人人好藥局","高雄市","鳳山區","福祥里五甲三路10巷7號1樓","林素分","女","078151566、0976792152","Y"
"開業","人人健保藥局","臺北市","文山區","保儀路39號","曾思文","女","86610761","Y"
"開業","人人藥局","臺北市","中山區","吉林路二六七號一樓","周正錕","男","225630798","N"
"開業","人人藥局","臺南市","中西區","和緯路5段197號1樓","羅窈安","女","63583668","Y"
"開業","人人藥局","高雄市","岡山區","維新東街2號","呂潔如","女","","Y"
"開業","人人藥局","彰化縣","北斗鎮","西安里斗苑路２段１２８號","邱福達","男","48883776","N"
"開業","人人藥局","南投縣","水里鄉","中央村中正路78號","林俊成","男","049770 166","Y"
"開業","人大聯合藥局","臺南市","六甲區","中山路8號1樓","陳瑩珊","女","66988888","Y"
"開業","人大藥局","臺南市","六甲區","中山路7號","陳瑩真","女","66991255","Y"
"開業","人仁藥局","臺南市","安平區","怡平里慶平路281號1樓","羅丹伶","女","(06)2998667","Y"
"開業","人仁藥局","高雄市","大寮區","琉球里萬丹路611號","侯白露","女","077831837","N"
"開業","人仁藥局","桃園市","桃園區","南華街１８０號","陳柏勳","男","","Y"
"開業","人仁藥局","花蓮縣","花蓮市","博愛街184-1號","林啟二","男","8332022、8332267、8332267","Y"
"開業","人仁藥師藥局","高雄市","左營區","新莊仔路668之1號","曾文松","男","75507399","N"
"開業","人民藥局","新北市","板橋區","仁愛路５９號","林碧華","女","89533956","Y"
"開業","人生藥局","臺南市","新營區","中山路２４９號","沈志鴻","男","066322458","Y"
"開業","人生藥局","嘉義縣","義竹鄉","六桂村2鄰義竹153號","吳仁山","男","053411428、0978749538","Y"
"開業","人禾藥局","高雄市","三民區","九如二路三二四號","湯金獅","男","073215681","Y"
"開業","人安藥局","臺南市","新營區","信義街七十號","陳立人","男","066376863、066320732","Y"
"開業","人來安藥局","新北市","三峽區","文化路266-5號","陳偉仁","男","0226721199","Y"
"開業","人和藥局","高雄市","苓雅區","正義路180-6號","孫麗珍","女","","Y"
"開業","人和藥局","屏東縣","屏東市","林森路54-1號","廖恩國","男","073855221、0912468827","Y"
"開業","人和藥局","花蓮縣","鳳林鎮","中正路二段２００號","鐘美妹","女","38762712","Y"
"開業","人尚大藥局","高雄市","左營區","榮總路109號1樓","林坤儀","男","73100000","N"
"開業","人康藥局","新北市","三重區","五華街128號1樓","呂玉婷","女","229800260","Y"
"開業","人德藥局","臺中市","大肚區","大肚里沙田路二段六七八號","張聖哲","男","26992125","N"
"開業","人德藥局","南投縣","名間鄉","南雅村員集路136號","李文森","男","","N"
"開業","八八藥局","高雄市","楠梓區","大學二十六街82號","黃宗健","男","07、073652182","Y"
"開業","八斗子東亞藥局","基隆市","中正區","北寧路378號","趙俊傑","男","224698829","Y"
"開業","八方藥局","苗栗縣","竹南鎮","照南路１３７號","羅美南","男","037476393、037636 393","N"
"開業","八生藥局","高雄市","楠梓區","後昌路797巷80號","蘇見來","男","73661108","N"
"開業","八里藥師藥局","新北市","八里區","中山路二段226號1樓","廖志偉","男","","Y"
"開業","八德中新高橋藥局","高雄市","仁武區","八卦里八德中路86.88.90號","陳明慶","男","73736437","Y"
"開業","八德藥局","新北市","新莊區","八德街3號2樓","郭瑞棠","男","22071315","Y"
"開業","八德藥局","桃園市","八德區","廣褔路一七八號二樓","林秋琴","女","33777196","Y"
"開業","八醫健保藥局","臺中市","太平區","中山路2段357號","楊東寶","男","423935050","Y"
"開業","八醫健保藥局和平店","臺中市","和平區","東關路3段135號","吳幸鎂","女","425941037","Y"
"開業","力生藥局","高雄市","三民區","鼎中路168號1樓","陳永諭","男","3105231","Y"
"開業","力光人文藥局","嘉義市","東區","公明路217號1F","李怡潔","女","52165166","Y"
"開業","力安藥局","新北市","板橋區","莒光路196巷8號(1樓)","張雲涵","女","222503349","Y"
"開業","力安藥師藥局","高雄市","小港區","桂陽路316號1樓","鄭吉成","男","77918167","Y"
"開業","力行德榮藥局","新北市","三重區","力行路二段170號1樓","柯子詒","女","222867170","Y"
"開業","力行藥局","新北市","林口區","文化三路一段423、425號1、2樓","王世堯","男","(02)26080711","Y"
"開業","力行藥局","桃園市","桃園區","力行路98號","廖昱如","女","33391368","Y"
"開業","力美藥局","桃園市","桃園區","永安路三七七號","林祺能","男","33334191","Y"
"開業","力健藥局","嘉義市","西區","文化路591號1樓","黃水木","男","52323217","Y"
"開業","力健藥局","新北市","三重區","自強路三段３８號","周健成","男","0029856255","Y"
"開業","力康藥局","臺北市","信義區","吳興街１６６－１號１樓","黃麗玉","女","0227375368","N"
"開業","力康藥局","新北市","板橋區","陽明街一○八號","彭淑貞","女","0222589353","Y"
"開業","力賀藥局","新北市","中和區","連城路7號1、2樓","洪偉倫","男","0222473247","Y"
"開業","力源藥局","新北市","新莊區","復興路2段133號1樓","葉子銘","男","89929919","Y"
"開業","十二願永藥局","臺北市","大安區","永康街49號1樓","游閔涵","女","233433553","Y"
"開業","十二願玥藥局","臺北市","信義區","忠孝東路5段21號(1樓)","高靖崴","男","27563123","Y"
"開業","十二願福藥局","新北市","永和區","福和路189號1樓","高培恒","男","29266720",""
"開業","十二願藥局","臺北市","中山區","林森北路309號","朱詠欣","女","","Y"
"開業","十二願藥局","新北市","新店區","中正路682號1樓","陳佑詩","女","222181899","Y"
"開業","十甲東亞藥師大藥局","臺中市","東區","十甲路410號1樓","徐鴻鈞","男","422118879","Y"
"開業","十全藥局","臺中市","大里區","塗城路349號","李佰陸","男","424921648",""
"開業","十全藥局","新竹縣","新豐鄉","松林村泰安街92號","周金意","男","035596 583","N"
"開業","十全藥局","嘉義縣","大林鎮","湖北里6鄰大湖28之7號","劉木坤","男","052655095","N"
"開業","十安藥局","新北市","新莊區","中港路316號","許有杉","男","0229922859","Y"
"開業","十路藥局","新北市","永和區","永貞路164號1樓","蔡宜靜","女","","Y"
"開業","十興藥局","新竹縣","竹北市","莊敬五街75號","何湘涵","女","6684889","Y"
"開業","十靈藥局","桃園市","龍潭區","中正路１２５號","古福亮","男","034705913","N"
"開業","又佳藥局","臺南市","左鎮區","中正里１５６之９號","張瑞芳","女","065731597","Y"
"開業","又怡藥師藥局","新北市","樹林區","中山路一段76巷2號一樓","王素華","女","226816886","Y"
"開業","又昌中西健保藥局","臺中市","北屯區","東山路1段223號","陳瑩珍","女","424375716","Y"
"開業","三千里藥局","新北市","林口區","麗園二街一巷３號一樓之４","朱玲娜","女","0226000887","N"
"開業","三大大藥局","臺中市","南屯區","東興路二段三十二號一樓","徐明安","男","424727515","N"
"開業","三大藥局","新北市","新莊區","民安路197號1、2樓","李介然","男","222030503","Y"
"開業","三山大藥局","新北市","三重區","中正南路８７號","廖峰楠","男","0229772409","N"
"開業","三井藥局","臺南市","安南區","國安街1號1樓","蕭淑文","女","62583195","Y"
"開業","三元藥局","臺北市","中正區","三元街１５８號","簡素雲","女","0223052839","Y"
"開業","三加恩聯合藥局","桃園市","龜山區","自強東路一八八號","林怡菁","女","33508373","Y"
"開業","三民明誠藥局","高雄市","三民區","明誠一路500號1、2F及502號","林帛縉","男","73493137","Y"
"開業","三民益康藥局","桃園市","桃園區","三民路一段１７１號１樓","李佳玲","女","33353757","Y"
"開業","三民藥局","新北市","新店區","三民路78號1樓之1","許華誠","男","(02)89146301","Y"
"開業","三民藥師藥局","新北市","三重區","三民街１３４號","陳隨錦","男","0029829328","Y"
"開業","三民藥師藥局","桃園市","桃園區","三民路三段３３７號","鄭惠珍","女","033394080","N"
"開業","三禾藥局","南投縣","埔里鎮","中正路177-6號","李正樂","男","492422823",""
"開業","三立大藥局","彰化縣","彰化市","中華西路一一一號","陳麗惠","女","047635422","Y"
"開業","三立藥局","臺北市","信義區","忠孝東路5段492巷34號","陳美娜","女","27271401","Y"
"開業","三立藥局","新竹市","東區","新源街100號","蔡佩淳","女","35740112","Y"
"開業","三立藥局","桃園市","平鎮區","金陵路二段五一二號","鄭君傑","男","34599230","N"
"開業","三光堂藥局","臺南市","新營區","延平路５７號","江翠滿","女","066322553","N"
"開業","三光藥局","臺北市","士林區","延平北路五段320號1樓","洪崇仁","男","28123786","Y"
"開業","三光藥局","花蓮縣","花蓮市","中華路251-3號1樓","蔡穗雅","男","8333605","Y"
"開業","三合藥局","新北市","五股區","中興路一段75號1樓","劉雲琴","女","","Y"
"開業","三多藥局","高雄市","苓雅區","三多二路292號1樓","吳培謙","男","73365889","Y"
"開業","三多藥局","彰化縣","和美鎮","糖友一街88號","黃裕烚","男","47356969","Y"
"開業","三多藥師藥局","臺南市","安南區","溪墘里海佃路一段194號1樓","盧政興","男","62581189","Y"
"開業","三好連鎖藥師藥局","新北市","五股區","西雲路86號1樓","陳品惠","女","","Y"
"開業","三安藥局","臺南市","學甲區","明宜里濟生路186號","黃金彥","男","067834365","N"
"開業","三安藥局","高雄市","鳳山區","大明路９６號","連忠義","男","77662563","N"
"開業","三宏中西藥局","臺中市","南屯區","黎明路二段二四一號一樓","陳楷羲","女","423899731","N"
"開業","三杏藥局","臺東縣","太麻里鄉","太麻里街263號","周凱健","","","Y"
"開業","三和安藥局","臺中市","大甲區","彈正路三之三號","曾素芬","女","26871634","N"
"開業","三和藥局","臺南市","大內區","內江里二七０號","徐勝楷","男","65762187","Y"
"開業","三和藥局","高雄市","苓雅區","廣州二街一一七號","王伯雄","男","077220808","Y"
"開業","三和藥局","嘉義縣","民雄鄉","中樂路５３號","許瑞模","男","052262488","Y"
"開業","三和藥局","屏東縣","屏東市","中華路8號","陳銘樞","男","87322519","Y"
"開業","三奇藥局","嘉義縣","新港鄉","大興村大興路１７號","蔡三川","男","053742679","N"
"開業","三姓藥局","新竹市","香山區","中華路四段576號1、2樓","曾雅琦","女","035385886","Y"
"開業","三欣藥局","臺南市","永康區","勝利里小東路423巷2號1樓","陳昱璇","女","63125808","Y"
"開業","三芝藥師藥局","新北市","三芝區","中正路一段43號1樓","温財智","男","86353982","Y"
"開業","三芳藥局","臺南市","中西區","大勇街５號","莊炯鐘","男","062203084","Y"
"開業","三芳藥局","桃園市","桃園區","民族路２３２號","黃淑玉","女","033330819","Y"
"開業","三芳藥局","雲林縣","麥寮鄉","橋頭村仁德路１７６號","史惠貞","女","056911053","Y"
"開業","三信堂藥局","新北市","蘆洲區","復興路１５６號","梁秀民","男","0022814722","N"
"開業","三信藥局","新竹縣","新埔鎮","義民路二段91號","三仁宗","男","035896 228","N"
"開業","三星健保藥局","宜蘭縣","三星鄉","三星路五段51號","羅定遠","男","9895816、0918452453","Y"
"開業","三洋藥局","雲林縣","莿桐鄉","四合村永基路５１－１號","林三鎮","男","055847183","N"
"開業","三省大藥局","臺北市","大同區","民族西路３０３巷１９號１樓","洪文煙","男","0225353540","N"
"開業","三美藥局","高雄市","小港區","康莊路一七八號","吳勝三","男","078015685","N"
"開業","三厝藥局","臺中市","南屯區","向上路二段432之2號1樓","林育丞","男","423861112","Y"
"開業","三原藥局","臺北市","士林區","延平北路五段293號(實際使用:1樓)","蕭耀聰","男","228111888","Y"
"開業","三峰藥局","苗栗縣","頭份市","中正一路７８號","林秀貞","女","037668 239","Y"
"開業","三峽大昌藥局","新北市","三峽區","民生街56號1樓","李有倫","男","","N"
"開業","三峽文化藥局","新北市","三峽區","文化路212-2號","張育維","男","26710825、26710825","Y"
"開業","三峽啄木鳥藥局","新北市","三峽區","中正路一段141號1樓","劉玉珊","女","226744321","Y"
"開業","三峽藥局","新北市","三峽區","介壽路1段27號1樓","王裕閔","女","","Y"
"開業","三恩藥局","新北市","三峽區","復興路451號1樓","林昭安","男","28670737","Y"
"開業","三泰藥局","臺東縣","臺東市","新生路１０２號","游泰山","男","089323 105","N"
"開業","三益藥局","臺中市","烏日區","公園路75號","朱嘉輝","男","","Y"
"開業","三祐堂藥局","臺南市","東區","東門路２段３６６號","洪火森","男","062673654","Y"
"開業","三馬藥師藥局","雲林縣","崙背鄉","南陽村南光路一之二十一號","林建宗","男","056960120","Y"
"開業","三商藥局","臺中市","大里區","中興路2段333、335號1、2樓","詹竣智","男","424852072","Y"
"開業","三華藥局","新北市","中和區","中正路124號1樓","劉信言","男","0222470928","Y"
"開業","三華藥局","宜蘭縣","礁溪鄉","中山路二段202號","林啟民","男","039882857","Y"
"開業","三越藥局","新北市","中和區","復興路277號1樓","陳姿伶","女","22427215","Y"
"開業","三慈藥局","屏東縣","潮州鎮","大同路９號","林明進","男","087887648、0933382259","N"
"開業","三源藥局","臺北市","萬華區","康定路197號","陳世昌","男","223022111","Y"
"開業","三源藥局","嘉義縣","竹崎鄉","中山路２０６號","陳劉金蓮","女","052611021","N"
"開業","三碩士中西健保藥局","高雄市","楠梓區","楠梓東街139號1樓","陳合發","男","73511148","Y"
"開業","三銘大藥局","臺北市","大同區","迪化街一段80號","林春玉","女","0225583392","Y"
"開業","三德和藥局","新北市","中和區","吉興里南山路２８９號１樓","劉姵斈","女","0222471028","Y"
"開業","三德藥局","臺中市","大里區","成功路四一九號","林文彬","男","24953856","Y"
"開業","三樹食在好健康藥局","新北市","樹林區","學成路600號1樓","陳品文","男","226807101","Y"
"開業","三興藥局","新北市","三重區","三和路四段３９０巷２４號","陳英明","男","022874139","N"
"開業","三豐藥局","新北市","土城區","永豐路135巷8號","吳明聰","男","22733766","Y"
"開業","三豐藥局","南投縣","草屯鎮","中正路３３２之２號","白炘和","男","49334387","N"
"開業","三鐵藥局","新北市","蘆洲區","信義路226號1樓","劉彥廷","男","(02)82822729","Y"
"開業","上大藥師藥局","新北市","鶯歌區","光明街176號","蕭孟修","男","","N"
"開業","上允藥局","臺北市","松山區","民生東路五段78號","陳玉芬","女","0227696905","Y"
"開業","上允藥局","新竹市","東區","光復路1段360-17號1樓","李德衍","女","6687664","Y"
"開業","上元藥局","新北市","中和區","景平路160號2樓","欒婉玲","女","29408050","Y"
"開業","上方藥局","桃園市","八德區","廣福路188號","張中生","男","33635902","Y"
"開業","上方藥局","雲林縣","虎尾鎮","中正路１７７號","蔡宗榮","男","056332828","Y"
"開業","上正藥師藥局","高雄市","三民區","憲政路255號","邵毓守","男","072223355","Y"
"開業","上田大藥局","新竹市","北區","南勢里延平路一段五五三號","楊　勉","女","035229975","N"
"開業","上石藥局","臺中市","西屯區","西屯路二段282之5號1樓","賴宥任","男","427066106","Y"
"開業","上禾藥師藥局","臺北市","信義區","林口街24巷4號","黃威堯","男","27611133","Y"
"開業","上丞藥師藥局","臺北市","南港區","成福路10號1樓","林咏宸","女","26535589","Y"
"開業","上光藥局","新竹市","香山區","內湖路45號","謝銘輝","男","35182195","N"
"開業","上全藥局","新北市","淡水區","民族路36號","蕭惠勻","女","28098022","Y"
"開業","上好松山藥局","臺北市","信義區","松山路144號1樓","林怡亨","女","27568012",""
"開業","上好藥局","高雄市","苓雅區","四維一路六三號一樓","林久能","男","77266863","Y"
"開業","上好藥局","雲林縣","斗六市","永安路72號","黃思涵","女","55331780","Y"
"開業","上好藥師藥局","臺北市","信義區","永吉路30巷101弄48號","張鐸耀","男","27677088","Y"
"開業","上宇藥局","臺中市","潭子區","中山路2段381號1樓","周淑芬","女","425321258","Y"
"開業","上安藥局","臺中市","北區","梅亭街六五○號一樓","陳超凡","男","422035577","N"
"開業","上安藥局","高雄市","前鎮區","隆興街一五七號","林明元","男","077513125","N"
"開業","上安藥局","新北市","永和區","仁愛路80號1樓","曾重哲","男","22328565","Y"
"開業","上安藥局","桃園市","蘆竹區","中正路357之1號","楊淑芳","女","33219118","Y"
"開業","上安藥局","彰化縣","和美鎮","和西里和樂路106號","黃智敬","男","47569962","Y"
"開業","上安藥局","雲林縣","虎尾鎮","西屯里大屯285-1號","魏農恩","男","56657158","Y"
"開業","上安藥局","嘉義縣","民雄鄉","西安村４６之２３號","何宗育","男","052261216","Y"
"開業","上杉藥局","新竹縣","竹北市","光明六路東二段60號1樓","何怡芳","女","36676806","Y"
"開業","上和藥局","臺中市","南區","忠明南路582之1號1樓","黃品諭","男","",""
"開業","上和藥局","臺東縣","池上鄉","忠孝路八十六號","王金菊","女","89864171","Y"
"開業","上宜藥局","臺南市","永康區","中華一路70號","杜思範","女","63116288","Y"
"開業","上明藥局","彰化縣","竹塘鄉","竹塘村竹塘街66號","李佳靜","女","48970600","Y"
"開業","上林藥局","高雄市","美濃區","民族路８８之８號","林英旺","男","076814610","N"
"開業","上林藥局","苗栗縣","苗栗市","建功里24鄰府前路91號","楊政哲","男","37320685","Y"
"開業","上宸藥局","新北市","樹林區","中山路一段56號（1樓）","沈怡","女","226811558","Y"
"開業","上恩藥局","苗栗縣","公館鄉","大同路180號","劉惠蓮","女","037234008、0932666353","Y"
"開業","上振藥局","臺南市","安南區","安中路三段43號1樓","林　愷","女","62551061","Y"
"開業","上泰健保藥局","高雄市","鳳山區","鎮西里中華街27號1樓","葉佐鴻","男","77455127","Y"
"開業","上泰藥局","高雄市","三民區","鼎山街569號","趙雅慧","女","3987396","Y"
"開業","上海啄木鳥藥局","雲林縣","斗六市","上海路234號","許文馨","女","55374296","Y"
"開業","上海聯合藥局","臺北市","中正區","衡陽路３２號１樓","李照雄","男","0223714797","Y"
"開業","上益藥局","臺中市","烏日區","公園路320號1樓","林忠訓","男","423360398",""
"開業","上益藥局","高雄市","三民區","正忠路２１８號","蘇銀上","男","073871 969","N"
